"Sample_ID","Group","Activated B cell","Immature B cell","Memory B cell","Activated CD4 T cell","Activated CD8 T cell","Eosinophil","Macrophage","Mast cell","MDSC","Monocyte","Natural killer cell","Neutrophil","Plasmacytoid dendritic cell","T follicular helper cell","Type 1 T helper cell","Type 17 T helper cell","Type 2 T helper cell","Activated dendritic cell","Regulatory T cell","NK T cell","Immature dendritic cell","Macrophage M1"
"GSM225939","Control",-0.378188195641854,0.0723738718276281,-0.0332344149248962,-0.307231694072561,-0.315456960372539,-0.111309220418023,-0.00595904611891769,-0.302909949161357,0.0855420402089325,-0.0729788812739223,-0.215104102249845,-0.190529199935589,-0.21846601579567,-0.238932436410892,-0.390888448211206,-0.409904341798194,-0.444539149552119,-0.0141019464605727,-0.473788121795808,-0.347627421271252,-0.242878416563129,-0.136035047284223
"GSM225940","Control",-0.250452572367228,0.185724321385181,0.0615222644565726,-0.155877760011162,-0.210630121611321,-0.12045728772878,0.0201118162248062,-0.398604062055167,0.170445896324942,-0.166927744935977,-0.216653037194243,-0.238866181641599,-0.188498458754287,-0.255549984262261,-0.337698139307975,-0.369944586970277,-0.306784035170891,-0.0828760322180508,-0.381220863750037,-0.520217712721211,-0.18873370572295,-0.217139506980156
"GSM225941","Control",-0.299111286426008,-0.0302648740480104,-0.00958522814983819,-0.41427341345917,-0.220497446214058,-0.249414106425311,-0.100482195903441,-0.273323693409972,-0.0110013446087705,-0.336249587832279,-0.0494415931369501,-0.249182893324554,-0.219576500767762,-0.277587820842024,-0.303014355106764,-0.42832839384107,-0.425573372501138,-0.0825263532783821,-0.543834190680078,-0.433104513847976,-0.257093513019842,-0.204454942048985
"GSM225942","Control",-0.320965272348562,0.16263512427147,0.0703312893451245,-0.26408582724945,-0.25788597506881,-0.0976444369991692,0.0563922207226845,-0.278008999099315,0.167105102401842,0.0150071845039541,-0.199577531528834,0.0902950894008779,-0.222248422086534,-0.266049900920472,-0.300968012695226,-0.430038147421862,-0.351276715525773,-0.124989285807807,-0.461826934593087,-0.45086118751878,-0.154567977912505,-0.234992560206857
"GSM225944","Control",-0.2781920823496,0.0410732949508632,0.0567051683323512,-0.216551971292308,-0.274369174146651,-0.123914943718143,-0.0784134763752843,-0.226327407595407,-0.013035135121346,-0.0667647233863279,-0.18851201472641,-0.1910372279616,-0.299164675059987,-0.454197319389382,-0.260108333091657,-0.456609027969942,-0.392930474252452,-0.0342411940278158,-0.542838815680613,-0.36678640460117,-0.101400407973766,-0.153640949064335
"GSM225945","Control",-0.289892356694942,0.10780176144619,0.0627195195980714,-0.27490874358676,-0.121581914662391,-0.0978481019632864,-0.07240601947929,-0.297181926260375,0.162302593019859,-0.114573256643173,-0.0360811151974971,-0.238827959014039,-0.268690156441929,-0.30701434558687,-0.233294947382478,-0.388786198069589,-0.337004001750877,-0.0362079593591882,-0.424536869394261,-0.343932068356999,-0.106356502585777,-0.145673663102254
"GSM225946","Control",-0.26866304302522,0.202265419135931,-0.0801313716856687,-0.271853638265942,-0.232147205772277,-0.0513279467156829,0.0841527211944586,-0.369091480925656,0.282345987715807,0.173623932478399,-0.142772589578092,-0.100354029031471,-0.182839037654495,-0.223453177226976,-0.309559079721595,-0.35835464766026,-0.335404231216772,-0.134177856328602,-0.494570219815217,-0.326299834746644,-0.144287051223542,-0.119957975650857
"GSM225947","Control",-0.336971371866996,0.125516875485586,0.0284618864348393,-0.164309516467837,-0.25707796545516,-0.173112808529459,-0.0185708603845728,-0.411538876652941,0.0906151963588303,-0.0373755632960102,-0.0975889180974219,-0.151421346674559,-0.167017017714433,-0.304585455724905,-0.366559415079759,-0.408396696675195,-0.344894529933675,-0.0860762240822161,-0.414668121913732,-0.378163705732558,-0.14495160418774,-0.236223773320944
"GSM225948","Control",-0.250530424826122,0.207239513804546,0.0690033830346894,-0.250776582998649,-0.293204704546256,-0.0763492224233824,0.0645089709932544,-0.236659586181097,0.189090786701801,0.156753273715114,-0.199273186850134,-0.108206045565415,-0.104952296246029,-0.309153111542327,-0.362872038475498,-0.426254979273135,-0.381825282144879,-0.126889828174381,-0.45474769917199,-0.535520673179926,-0.160327681931921,-0.176078002649359
"GSM225949","Control",-0.382908259029861,-0.0610621768805743,-0.0566126334540485,-0.48229074368754,-0.301500650039859,-0.189216059196772,-0.0611735312979213,-0.233364111607436,0.0335413570731953,-0.196496565184462,-0.217858167320501,-0.371212086855753,-0.386608350034144,-0.433790996566349,-0.423127483882978,-0.307167262304545,-0.451484363205389,-0.00999476884419655,-0.562460378763866,-0.595696636259318,-0.203136942636125,-0.273882489395696
"GSM225950","Control",-0.398799729348315,0.10230305321607,-0.0467111649318104,-0.366003890020834,-0.306618586235248,-0.171395461688923,-0.0463765270551309,-0.387025923675618,0.0938094708059736,-0.0619920933242378,-0.205770955014391,-0.186902276863824,-0.321183778355082,-0.449037066423544,-0.290314019673065,-0.35186740014281,-0.495458649384912,-0.0444183947906779,-0.422495569923735,-0.250386897313084,-0.330823356849226,-0.211595836009951
"GSM225951","Control",-0.401098621425442,0.131798800908582,-0.0213559472827646,-0.291180957464508,-0.284133146344307,-0.113686663511284,0.0286953552989478,-0.284312510378437,0.142518923244974,0.184124418523918,-0.168443977936166,-0.076717960084937,-0.105190295922207,-0.437634383450472,-0.362740099551079,-0.385277547396113,-0.473272025784076,0.0510598785722709,-0.544525423318595,-0.36197123729401,-0.198085437399493,-0.184962717159346
"GSM225952","Control",-0.299845321312314,0.0886357176199568,-0.0435918908486757,-0.229485236227498,-0.309943900442254,-0.157651346729192,-0.0886364012945007,-0.31900246630308,0.0826147602884561,0.0366718471278658,-0.126219400353975,-0.140699649400037,-0.152382649351483,-0.245059734540349,-0.301373986834709,-0.373612242400263,-0.410277569070692,-0.0974281920186457,-0.391076283788352,-0.424244100202321,-0.248670502056118,-0.143995178334516
"GSM225953","Control",-0.351493878713611,0.140128887925451,-0.020495750796626,-0.232885678170503,-0.218448132189277,-0.114634611067244,0.00103879857947528,-0.331660007814899,0.115846672759847,-0.0100192694736903,-0.104709179070353,-0.117191959569791,-0.263107998753759,-0.366634003985322,-0.406729234503823,-0.409729544471942,-0.390948863006953,-0.0994163579225989,-0.341604845606255,-0.2828848885093,-0.20745666231473,-0.179571203624263
"GSM225954","Control",-0.266723845767324,0.183522262328317,0.144438469459526,-0.303527226042805,-0.24782814881165,-0.133374400013845,0.0340923903377536,-0.231577570417634,0.197368498908012,-0.0929755161162025,-0.065266601590037,-0.119057527402603,-0.305923461000311,-0.357775878524606,-0.180969889530282,-0.331424860812022,-0.362430910856872,-0.0647879295754292,-0.47656149097802,-0.38733620715849,-0.181824970062382,-0.265102513872242
"GSM225955","Control",-0.380558459237191,0.0853519509799485,0.0180688257894399,-0.220997384263086,-0.347702281299654,-0.248610037088485,-0.0561878500407595,-0.276925735798911,0.0601026231967796,-0.253846350435338,-0.19106911268137,-0.28046133936825,-0.331788518907457,-0.240229126168682,-0.390764215198399,-0.427145700284166,-0.171223228006488,-0.0710646561826741,-0.48701876579625,-0.5240330849765,-0.215840699475373,-0.439002579962141
"GSM225956","Control",-0.390304913600782,0.116450986663378,0.0193604497123848,-0.250662221191035,-0.252553921725201,-0.148418830438644,0.00814005418228293,-0.292651430127531,0.085289087924022,-0.0603653730353556,-0.134667212982472,-0.147493340371481,-0.180531155711776,-0.288131234538803,-0.379199350980594,-0.42908691876422,-0.384132669541375,-0.0864511571597764,-0.460992649207916,-0.274083934032016,-0.315504144934667,-0.240730578398981
