Symbol
SMO
ADAT3
IGF2BP2
SEMA3F
MKNK2
STAMBPL1
GRTP1
CHL1
ATP6V1A
SUSD1
MDH1
RRAD
FGF12
PAK3
LRCH4
SV2B
JUP
KRT18
HIF3A
RFK
STYK1
GLRB
RGS7
GMPR
CADPS
ACSL6
SMARCD2
ARHGAP20
UCHL5
KIF1C
HVCN1
PAQR9
ATP6V1G2
TIMM8A
PYCR3
CMSS1
CFAP69
CALN1
HIGD1B
SYT1
PLK2
MEF2C
TMEM132D
RAB13
LILRA5
ANGPT2
DYNLT3
RCAN2
SYT13
COL12A1
TENT5A
LINC01547
VSNL1
FAR2
MAP7D2
ZIC1
PCMT1
HSD11B2
TRIM56
MRGPRF
SLITRK5
ST6GALNAC5
ZCCHC12
CNKSR2
NMNAT2
RNF128
GUCY1B1
NRXN1
PLP2
CCHCR1
PLEKHH3
RASL12
HTR2C
NUPR1
OTOGL
PRPS2
TRABD
AZGP1
HTR4
HIPK2
MIA
ARMCX4
ELMO3
RSAD2
NPFF
UNC79
EID2B
HECTD2
MRPL30
GRM7
UBE2V2
NETO2
PLXNB1
LDB2
AQP1
SPDEF
LRRC32
CXCR4
HAPLN2
KCNIP4
BCL6B
EFNB3
TMEM169
TLR5
SERTAD1
C5orf34
GRIN3A
PPEF2
RPS6KA1
PRELP
SSTR1
F11R
SUCLA2
LDLRAP1
ZIC2
SERF1B
ZWILCH
HSD3B7
CCT6B
MT1F
NCEH1
C9orf72
EGR2
EPHA3
AHNAK
B4GALT1
STAR
PRPH2
DYNC1I1
SULT4A1
TAC1
CDH13
ELMOD1
KLHL28
CLEC5A
CGN
B4GALT6
G3BP2
MAEL
CHAF1B
S100A12
SIDT1
SLC17A8
NAP1L2
SLC16A14
GABRG2
STAU2
ITGB4
SLC1A5
YWHAG
TGFBI
LNX1
PNOC
GBP2
INA
FGR
TGM1
C1R
FGF13
LCAT
LAT2
DGKI
LOXL2
P2RX2
SNAP25
MID1IP1
SCN3B
DCAF16
GAD2
NPY5R
PTPRO
A2ML1
FAM3C
ADAMTS3
CYP26B1
CNTNAP3
RASAL2
FAM163A
HDAC9
COL8A2
LBH
CAP2
CDH23
GDPD3
EPHA5
NAT16
TRIM36
RRBP1
TAFA2
BBS7
SLC12A5
PLEKHA4
FILIP1
CDA
TGFB1I1
MSX1
SERPINF2
RAPGEF3
GREM2
PPFIA2
SLC52A3
TGIF2
SLAMF8
RBBP8NL
VLDLR
GAD1
ENTPD3
CCDC88B
ACTR3B
PPL
CDK5R2
APLNR
CCDC102A
HECW1
UCP3
RGS6
ALOX12B
TNFRSF4
GALM
MPST
SYTL4
MPL
C1orf94
TUSC3
SPTSSB
SLC14A1
ADTRP
GPR22
TRHDE
CLUL1
ZSCAN1
G0S2
XK
COL6A2
FOXC1
PTTG2
SLC6A15
OPN3
SLC32A1
SPMIP2
HS6ST2
CDH12
GOLT1A
TBX2
HP
HSF2BP
SERPINH1
AMPH
BFSP1
GRIK1
FADS6
SLC10A4
PLPP2
GABRA1
VNN2
CRHBP
RFC3
PLK4
ACTR2
CDK2
FAM167B
TASP1
TMEFF1
ELF4
SLC7A14
TEAD4
TUBB6
PRSS16
IL1B
COCH
GJA4
S100A9
C8orf34
CALB1
HSPB1
A4GALT
WDR17
SLC26A2
CR1
SPON2
TCAP
RFX4
PRRG2
DMXL2
MAGEE1
OXR1
HMBOX1
VWC2
DIRAS2
EGR3
KCNG3
LONRF2
GNRH1
DEPP1
GAS1
GPRASP1
ADAMTS9
CLEC2B
CDCA5
OR7A5
ACP5
TCP11L1
TRAM1L1
CREG2
ZDHHC21
PARPBP
PLAGL1
HSPA1A
FSIP1
SPP1
NGFR
BTN3A2
ZNF233
CLDN10
PARM1
NETO1
CEL
GPR4
LONRF3
SYK
HAPLN1
ITGA10
TAL2
MT1E
TPBG
CCDC81
TNFRSF11B
SEC23A
GRM5
CYP4A11
CTRL
NAF1
CHGB
LILRB3
LILRA4
BMP4
FXYD2
SIPA1
TMT1B
MTPN
S100A8
CDH8
EFHB
CLGN
TRPM3
ID3
RIMS1
SERPINA3
SRPX2
MSR1
KRT5
C19orf33
ESPNL
SUN2
GLI1
SYTL1
CTF1
MYBPH
NACC2
IGF1
SCRN3
RASGRP1
HLA-E
GRIK2
SLFNL1
FBXO16
LRRC7
RNF122
ALB
SH2D4A
RUNX3
DHRS9
MSH2
PCDHA9
ZNF85
GPR21
NES
SLC13A4
SYNGR2
TCIM
MS4A14
SCT
CNTN6
PYROXD1
ANK3
CLSTN3
MAD2L1
RAB3B
LTA
ITPRIP
ITFG1
LATS2
FGFR4
LINGO2
KIF20B
TNFRSF10D
NEGR1
ATP8A2
GPLD1
OSM
DYDC2
AJUBA
TMSB4Y
TXNDC9
CATIP
GATA2
KLF8
PCDH11Y
GPR35
SPINK5
RCC1
ARMC2
MS4A7
FZD7
DLEC1
CYP39A1
BDP1
NRG1
KCNV2
PLEKHF1
S100P
SLC25A48
GRM1
CNTNAP5
KRT86
CST7
MRAP
EGFL8
MUC1
TECTA
TG
IP6K3
KHDRBS2
FGF5
SLC23A3
SLPI
CDH18
TDRD5
CARD6
MTBP
CDC14A
MCEMP1
LHX2
GDF15
GABRB3
GABRA3
IRX3
C1orf87
APLN
BAAT
PLAAT2
NFKB2
MGARP
STAC
RAX2
RBM47
GPRC5A
FBLN7
SLC2A13
ELAVL2
RAMP3
CLTC
GRIN2A
MAP2K3
SERPINA1
HSPA6
FUT7
FGF2
S100A2
CCNA2
INMT
SLC4A9
CCNP
NDUFA5
PKIB
GABRA6
PIP5K1B
IL1R2
CSF3
BGN
CCL2
