"Sample_ID","Group","Lysosome_Subtype","PC1","PC2","PC3","PC4","PC5","SLC7A14","ACP5","SLC2A13","RAMP3","CLTC"
"GSM388242","AD","Cluster_1",-1.03421262160837,-2.01537200290063,-0.155088229661278,-0.833161453587465,-0.750202645765513,7.38710251094991,4.42736985666934,6.1626102148493,5.34851288667194,4.23561554384958
"GSM388243","AD","Cluster_1",-2.49235664721304,-0.356553833547048,0.636741304415751,-0.79595687681553,-0.127035394255354,4.85129125184254,5.71504220140634,5.21764885071362,5.52302125359723,3.69808398783293
"GSM388244","AD","Cluster_1",-2.15570785340211,-1.33482763307658,0.856438894603775,-0.336393735911597,-0.34502091549322,5.37286679426526,4.63051865955059,6.22227554526695,5.55311628878514,3.28169181186896
"GSM388245","AD","Cluster_1",-0.72754210624187,-1.78507668748038,-0.132988899824168,-0.674164009947822,0.213778418431126,6.78341201744913,4.41388729352137,6.86402130697821,4.50884804100663,5.34418806158204
"GSM388246","AD","Cluster_2",0.135447001267034,-0.151885545648032,-0.193869649784898,0.299572817712333,-0.762442575541772,6.2479401539929,3.63151294657077,2.59044534486823,5.31555569382251,6.35564253511258
"GSM388247","AD","Cluster_2",-0.841403522365933,1.17391379627467,-0.250359002394453,0.323257166646668,-0.715194937281303,4.94511298805245,4.71930276914573,1.25395691734629,6.2949886646297,6.33996087773822
"GSM388248","AD","Cluster_1",-1.39408914410074,0.07555269374111,0.0142608053916073,0.783614031791021,-0.134243784678848,4.65051113927554,4.2213094718863,4.0566443611633,6.57884635019411,5.78853168214658
"GSM388249","AD","Cluster_2",-0.0870678478554427,0.271376941392155,-0.762155632337934,-0.441954807757109,-0.479696659295976,6.43284679785914,4.79733362730751,2.49657438622441,5.23327433527611,6.87364701931979
"GSM388250","AD","Cluster_1",-0.349570798284345,-0.489746058162568,0.0766538698246392,0.00728290388645713,0.0603624042277002,5.77844676268933,4.07023636097729,4.42641799143474,4.66090225452458,6.13560460986737
"GSM388251","AD","Cluster_1",-0.374290376180738,-1.27612648665241,-0.265810502823175,-0.0272551287208685,0.187928784176061,6.39291337883625,3.94157733608384,5.88585204697672,4.92197218017561,6.15334953897477
"GSM388252","AD","Cluster_1",0.483473515208091,-1.9948572771288,-0.710557466782157,0.118836008706953,0.702382586401007,7.15426539233658,3.32566744024932,7.19628347199185,4.34071853445889,7.30416499694456
"GSM388253","AD","Cluster_1",-2.53916826177616,0.536214254481247,-0.303189843431188,1.02791390088046,0.508637416081587,3.51024892189519,5.08523684538525,5.00765619751477,7.78440824195848,6.02041519961229
"GSM388254","AD","Cluster_2",-0.23897813183013,0.647539913710753,-0.992016060778889,0.0127184667394332,0.299896386728066,5.5996301905824,4.90640762893303,3.10376173254749,5.49543372194265,7.8950250446621
"GSM388255","AD","Cluster_2",0.138066814762498,1.40492609109475,-0.146506797886345,-0.0191910624362375,-0.875257068503,5.49002535248093,4.48586525562503,0,5.04084825556578,6.83747156409374
"GSM388256","AD","Cluster_2",-0.31001126487372,1.82789917608312,1.08413127254843,-0.304104447723868,-0.404478164435783,4.21593345500282,4.78800799763757,0,3.60458790255804,5.85497223388077
"GSM388257","AD","Cluster_2",-0.619669014468716,1.77304274145002,-1.0071284249157,-0.289387884198156,-0.926676130193803,5.54275752342838,5.57429727382434,0,6.44302701258957,7.09856879177354
"GSM388258","AD","Cluster_1",-0.109031026973036,-1.77575789468403,-0.752154417806707,-0.610237951452589,0.51545501115614,7.23330805467097,4.31298259708432,6.95493064211861,4.40630883489194,6.61979020231691
"GSM388259","AD","Cluster_1",0.220337913976755,-2.04477302570955,0.247563684212693,0.396557679833684,0.606357899372935,6.42477196400961,2.85508603191304,7.16527419287972,3.92503041611867,6.23669466885045
"GSM388260","AD","Cluster_1",-2.56088037044321,0.572037758172939,0.754603167982125,-0.160545339383124,1.07652139272841,3.2016290311473,5.81733164623414,5.41489320616109,5.21603279641839,5.1067500873172
"GSM388261","AD","Cluster_2",0.470754055852006,1.15391868446514,-0.0559113342342555,-0.532824343505921,-0.962626199600652,6.07274807216842,4.57021995860749,0,4.21412997433916,6.64782246205218
"GSM388262","AD","Cluster_1",0.171438463550252,-0.953119303899391,-0.799070539086546,0.406524590253514,-0.0172254127961863,6.64366771568588,3.57042258610347,4.89421118418245,5.49292772684899,7.17296835859793
"GSM388263","AD","Cluster_2",-0.0670494870279312,0.276526870040236,-0.887459633838336,-0.547962362830669,-0.210409071274144,6.42089956869585,4.9761519377327,2.83994461152845,5.05886043967988,7.17703651843114
"GSM388264","AD","Cluster_2",-0.228856273764963,-0.230347910549688,-1.08127894984253,-0.397257760866574,-0.158076185398259,6.65582095848223,4.81580930546024,3.84602297481542,5.52003961767334,7.09071150856735
"GSM388265","AD","Cluster_2",0.127138023220363,-0.478180075186542,-0.885885720660023,0.465477139781391,0.0643469007324503,6.30323617661249,3.78867508103898,4.31495544886429,5.62133358017823,7.51972207120313
"GSM388266","AD","Cluster_2",3.19650080642822,-2.56284668592449,1.34982847794122,2.8650191821858,-0.573515850269944,6.92761333056949,-1.65096873099676,4.4686428912892,3.03340112081411,7.10188922733532
"GSM388267","AD","Cluster_1",-0.631655296078172,-1.26909917109325,-0.88368893592543,0.400417510232769,0.0608867864985188,6.45316158819947,3.93368761527714,6.02694017620153,6.29254486152577,6.57036629864406
"GSM388268","AD","Cluster_2",0.615694994176031,0.0557605258446346,0.104987775365714,1.0957809088341,0.221373979880926,5.24422698537317,2.89605002075431,3.23666315368875,4.59886185334547,7.55738723649198
"GSM388269","AD","Cluster_1",-1.57651810383379,-0.833158480913166,0.080152091731045,0.185540882082345,-0.0238184624513275,5.33797227818254,4.43852288157983,5.66717594194502,6.05928933028443,5.06374558613978
"GSM388270","AD","Cluster_2",1.69221657524856,-1.76341503163832,1.62684985594653,-0.795326962057699,0.578264140310943,6.83863187161573,2.63155122724458,5.3787822332259,0,5.78506612014794
"GSM388271","AD","Cluster_1",-0.567464482450547,-1.54830290758834,-0.475464858041635,0.0564348014821651,0.48970026933852,6.3779923399621,4.00623834881717,6.8707935713596,5.1936122506077,6.33639577751409
"GSM388272","AD","Cluster_1",-2.20787674868665,1.0295340056914,-0.855535513089848,-1.11464577787958,0.236414717330247,4.94511298805245,7.00174916551859,3.61020655209952,6.24234113121835,6.07227499356684
"GSM388273","AD","Cluster_1",-1.01247635053741,-1.38634924411545,0.0443032501780104,0.737525504324424,0.133765045168155,5.60274034345522,3.49734380300973,6.40673787028385,5.95903217839873,5.56247083820524
"GSM388274","AD","Cluster_1",-0.131586182983758,-1.60343923887741,-0.540878246071133,0.164926829793269,0.400476359973644,6.65363845931588,3.66126090777357,6.57473259298495,5.00565772911962,6.65891153700087
"GSM388275","AD","Cluster_1",-1.75226931166426,-0.0283130154128473,0.303107747815865,-0.372718072557278,0.220880147998553,4.79135007813878,5.2896871642217,4.77009509016482,5.30735010233044,5.1058521374646
"GSM388276","AD","Cluster_1",-2.18092765180153,0.0471642099822566,0.1563287257254,1.87256854879041,0.321629031277779,3.38825144956881,3.79296173635328,5.26663117538339,7.87837560300322,5.77890003390487
"GSM388277","AD","Cluster_2",-0.426468722906612,1.80358015138194,-0.92093052582514,-0.623654816572764,-0.760228259516688,5.65605198070835,5.75728968867543,0,5.7434564209402,7.19470193278632
"GSM388278","AD","Cluster_2",-0.424377344787573,2.1465100474228,1.23089560962868,0.0559036456774032,-0.082906994956312,3.52040028106306,4.69937331350215,0,3.67114981712067,6.151442947192
"GSM388279","AD","Cluster_2",1.85464219680887,0.778720779352337,1.57244874339761,-0.855639951991618,0.339265333454301,5.54114054993495,3.59994448368156,1.03401713481009,0,6.91805522558019
"GSM388281","AD","Cluster_2",0.598031385189753,0.311796204302104,-1.92320754647325,-0.0727072346644074,0.595703241416906,6.62575878595818,4.77895832286643,3.62389467906948,5.37358262921746,9.40198784045633
"GSM388282","AD","Cluster_2",1.4406112417039,-0.218234259953396,-1.24757195923802,0.920591380934471,0.431777691138018,6.5553835889209,3.00909956454861,3.62965701135153,4.90080232710313,9.37005418817622
"GSM388284","AD","Cluster_1",-0.637322380058225,0.147038106674393,-1.03609323561586,0.725293796015395,0.341659854573595,5.34231377712732,4.36228673867744,4.25726877442007,6.55583350195512,7.67941932366943
"GSM388285","AD","Cluster_2",0.669053473677283,-0.109270156801507,-1.40148722573857,0.153220903506479,0.730677395127429,6.4371118696709,4.22190703755363,4.32455700998811,4.88245711685272,8.96702361671718
"GSM388286","AD","Cluster_2",2.09444969149627,0.389748640539916,0.211611651397141,-1.57967420051161,1.07499303316575,6.64625747539575,4.54724140314902,2.6297079838596,0,8.47741881101872
"GSM388287","AD","Cluster_2",1.92180497088319,-1.02872187221159,-0.114019906716456,2.87296240532592,-0.467838224917408,6.11635891547987,0.220631060696088,3.34125560730541,5.69978063008632,8.27763313374535
"GSM388288","AD","Cluster_1",-0.0746634215074716,0.410932875126486,-0.815529606241438,1.1164056102182,0.39105390730264,5.10096927215852,3.77167174127044,3.5330062625372,6.11422816667415,8.18347111371016
"GSM388289","AD","Cluster_2",-0.248160794267795,2.23046493716316,1.53694117236261,0.893070973031083,0.100170885811287,2.84743552703672,3.87893425778005,0,3.83263668875895,6.46122102509602
"GSM388290","AD","Cluster_1",-1.26250202881109,0.697173532563864,0.331443933756951,0.224420472474452,0.812655086841153,3.93898965313479,4.9405083575344,4.13490754875687,4.94721582331669,6.42929609275999
"GSM388291","AD","Cluster_1",-0.247695014155415,0.0872117416387559,0.0466606927964144,0.847097344632077,-0.0927426648152661,5.13228178506282,3.54221465986032,3.33876933877368,5.47528126988294,6.6631183562242
"GSM388292","AD","Cluster_2",0.0272392968407764,1.25437966211238,0.500254387254823,1.2184329860701,-1.09218171892278,4.6345956279668,3.19348471967216,0,5.774055350292,6.34294359956865
"GSM388294","AD","Cluster_1",-0.187540615746684,0.0122240015415697,-0.841418555297945,0.241721461236836,0.747524120404768,5.57242580489392,4.46921639566341,4.6236334660787,5.19417747439679,7.92579461071513
"GSM388295","AD","Cluster_2",0.319191004967262,0.275222102742644,-0.628061259430924,0.143398750854214,0.686706258747075,5.62332273626663,4.28915353049016,3.75788748167076,4.43719219994867,8.14753997989826
"GSM388296","AD","Cluster_2",1.61395258865141,-0.0958667231182796,-1.180600616753,0.577072699415383,0.35036234550613,6.75077562027052,3.20389919887076,3.1818326629654,4.40320239691629,9.31682655191526
"GSM388297","AD","Cluster_2",1.31342956561529,1.27053583725547,-1.08033407669222,-0.347488215455413,0.254148663944033,6.23982379130619,4.62655895420365,1.04980536185233,3.79319030122319,9.25175636472883
"GSM388298","AD","Cluster_2",1.21963608636069,0.49422320560214,-1.45068817714729,0.450664552659618,0.465416746883777,6.34938193368002,3.88612740396033,2.71730082036663,4.8619434701288,9.58887912763695
"GSM388299","AD","Cluster_2",2.16873873698324,-0.654045887508373,0.189534825447435,0.686996262831556,1.22316400843236,6.07352286321797,2.26485035959183,4.5679509726725,1.95084850231744,8.93769457380138
"GSM388300","AD","Cluster_2",0.59881981270486,1.85537538259723,0.126624653333782,0.599132619405762,-0.102850111393706,4.54782735999405,3.97145258254177,0,4.35052815838967,7.93766969987092
"GSM388301","AD","Cluster_2",1.60388457906506,-0.00812394811774579,0.525187429176928,0.310261926017426,0.58645948626459,5.74815356279886,2.8934258617561,3.02164379809889,2.23566865703282,7.89758773070828
"GSM388302","AD","Cluster_2",1.24198740999223,-0.153199429792367,1.1791326164242,3.50645619836079,-0.291251173509276,4.09170976572037,0,2.4709548084844,5.47333913284797,7.35272769362101
"GSM388303","AD","Cluster_1",-0.00328216987664363,-0.281138989361336,-0.644170800398721,0.291358719975936,0.350432700732758,5.91995198011629,4.05437756392056,4.40854774478289,5.13578342662049,7.45811488098317
