"Sample_ID","Group","CLTC","SLC2A13","SLC7A14","ACP5","RAMP3"
"P_0018","PD",12.9409567929477,10.6113476149374,6.59724868583044,4.79497879749313,8.71313730844636
"P_0019","PD",13.3080431790569,10.4242534358864,7.51386731943091,5.09424958449011,8.63552115316951
"P_0020","PD",13.5004709527172,10.3651325934525,7.90788451049368,5.00096718308945,7.76917798615187
"P_0021","PD",12.6748929175588,7.72832258378278,8.08231672494362,6.75597445718952,8.26808438229055
"P_0022","PD",13.1364025749137,9.7552060621453,5.61126534941703,5.0026728201762,9.10254003631496
"P_0023","PD",13.2560522307963,10.2254520837792,6.31358308225002,5.7454188679026,9.66122335503777
"P_0026","PD",12.8851283719361,9.76180617468616,5.25484684018952,4.47555510932326,9.23814364522377
"P_0027","PD",14.0132956270022,10.8740146178868,7.60646517722364,3.55719930135098,7.87584578379965
"P_0028","PD",13.0410250956836,9.74066637191702,6.55541908326169,4.89886955714388,9.08291171131281
"P_0029","PD",13.1392246946348,10.2800202343502,7.12107965749915,4.35960058393734,8.77033319955573
"P_0030","PD",13.3039120000623,10.0301691412154,7.22296777446016,3.67550207135266,8.25196614717681
"P_0031","PD",13.3136214102423,10.4422292264742,6.43193696909475,5.09538900486731,8.35813248460676
"P_0033","PD",12.788803962133,7.60084657345072,7.0195951759658,7.25889198725897,9.19532102004376
"P_0012","PD",14.0199364194926,11.5490535108005,7.30384466363016,4.0769959760873,7.34356150022218
"P_0034","PD",13.3127567706598,11.3998674875999,5.88079203394704,3.63603756347736,8.3806900598704
"P_0063","PD",13.5199838631222,11.4597010741511,6.77817834468015,3.42485451906736,7.39398843517642
"P_0126","PD",12.8491691286812,9.84570785009156,5.95907715211808,7.28540036925204,10.4409470087685
"P_0130","PD",13.1824188740456,10.3272753056163,7.18623014583476,4.57775449290011,9.20298771251581
"P_0132","PD",12.7545242780041,10.1050795717794,6.25749231643301,5.62420444201595,9.35397293994128
"P_0133","PD",13.2573166785902,11.2932009025724,6.01101810540105,4.78463013470888,8.70365618366082
"P_0134","PD",14.1986031153338,11.9065069530317,7.94626122951257,3.48385704258811,6.85668696423172
"P_0135","PD",12.9610781200204,10.4631953358914,5.41946742914842,5.1758527030486,8.28370975906296
"P_0136","PD",13.1231832874906,10.0387777299157,7.68410548737137,4.8854264756695,9.27106751651073
