"Sample_ID","Group","CLTC","SLC2A13","SLC7A14","ACP5","RAMP3"
"GSM225922","Control",7.79600018629507,4.8998459960462,6.8163759511954,0,3.74616970008803
"GSM225923","Control",7.61324596031369,3.60948654410742,6.42622117698015,4.45924272615555,5.38880899186992
"GSM225924","Control",7.4602721753291,3.45953710821739,5.42990866767166,3.39145933750695,4.92095579342475
"GSM225925","Control",7.43246424659307,2.78155641339848,5.08815484952548,0,5.62208911331926
"GSM225926","Control",7.55107608049894,5.0828474016384,5.74708977181236,2.48359205318193,0
"GSM225927","Control",6.5334842784429,3.83245872902399,5.55751619828039,4.15516569976358,4.89855752460895
"GSM225928","Control",9.07813583155677,4.41302005262118,6.74414196093402,3.82732215151047,4.126057030547
"GSM225929","Control",8.58124091347823,4.77109080771306,6.46430277154431,3.10856457699288,4.95849201868396
"GSM225930","Control",7.50981477594189,4.94133919974909,6.52676634905087,2.1821763535259,3.82746574376553
"GSM225931","Control",7.7151780877626,3.19377556053179,0,3.03591402282716,5.12183178807749
"GSM225932","Control",6.29585947009655,5.00176952284693,6.56263830723774,0,3.01713712068292
"GSM225933","Control",8.9740853203725,2.92600879302466,4.87704757704495,4.83655685845518,3.76272648494801
"GSM225934","Control",9.56097679109364,0.867509480340246,5.71606238518417,3.37008605852252,5.04339673714197
"GSM225935","Control",6.1398522601753,4.96256339834807,7.14894519425646,4.88714491205596,3.61309801316727
"GSM225936","Control",10.4925929083548,4.10615791409821,6.89924234566246,1.15815889433593,0
"GSM225937","Control",8.24080316742321,4.04655588498285,5.83825371820622,3.88937486213213,4.11372220836845
"GSM225938","Control",6.53301201026174,0,5.86340010347499,2.82937281490456,5.96118941207153
"GSM225939","Control",8.98538337886832,4.68260490262439,6.45550905641341,4.66475279311669,4.82932974125852
"GSM225940","Control",5.77283104873626,3.42400566939786,5.12652573876748,3.62230336088417,5.88700697293926
"GSM225941","Control",4.79246529596426,6.62930924226537,6.20116592065992,4.1672882796446,3.24554358208456
"GSM225942","Control",5.48359314994401,3.6849340093662,5.3165163036016,4.9854075742198,5.16057068326674
"GSM225944","Control",6.6355154793849,5.02346393296613,7.11591583093517,5.13140232699407,5.6096143934471
"GSM225945","Control",2.88254946582198,5.51673456454312,6.3337460654206,5.32308102255249,3.82578774155066
"GSM225946","Control",0,1.82150300733673,2.61887212233202,4.63844156964944,5.24013872068009
"GSM225947","Control",6.0264872015645,4.10443789219593,6.72920544765559,4.87586666171819,6.02431701513142
"GSM225948","Control",5.41060349825479,3.57562580962352,4.937778558817,4.4411571713224,5.88492338300192
"GSM225949","Control",7.67353229206069,4.81324842620232,6.97333977847543,3.37672808552622,2.08749043673339
"GSM225950","Control",8.93448822550414,3.9493823051491,6.88734019871219,3.7502185967491,4.36152699125518
"GSM225951","Control",4.79084653593233,4.9828684594455,6.77925335952323,3.40633934377024,5.97632523527075
"GSM225952","Control",8.02652237458086,4.28624331403616,6.91500728643157,5.048830545063,4.53669026234821
"GSM225953","Control",8.8417869469641,4.25703489371746,6.36721700971524,4.78086591098634,5.17282804302906
"GSM225954","Control",7.68315923432383,3.86847956086647,5.26293776024024,5.49002535248093,0
"GSM225955","Control",7.26272103158635,5.1957401802861,7.00347144131919,2.47078241130556,4.70216780702604
"GSM225956","Control",9.13199697487985,3.79134665861003,6.11807412171191,3.96870522616595,5.37649112486785
"GSM225957","Control",8.1813014258965,3.95446786638534,6.42595255556003,3.66780651434555,5.11112541165739
"GSM225958","Control",8.91564126967418,3.15584530988475,6.25960708120561,2.76759265665197,3.84929905368419
"GSM225959","Control",8.81029827519318,4.48760123922191,6.62484216174525,4.1222942779053,3.62309331964345
"GSM225961","Control",6.82524960123227,4.99042023396709,6.74984817087498,3.19887725148422,4.5074048112499
"GSM225962","Control",5.55077519584856,6.11182860516959,6.74366386220112,3.15074141538318,5.37286679426526
"GSM225963","Control",4.05940918842853,6.51945548629828,5.42788713401574,4.10930390720506,2.55466622760397
"GSM225964","Control",5.5514735430016,6.38811226858129,6.12584522720836,3.19268852053051,0
"GSM225965","Control",3.66919055571735,7.30534026828719,6.48394653746912,4.00927236369183,2.12712906857951
"GSM226034","Control",6.96273274678579,5.14496546364663,7.18438404078648,3.49291916705818,4.50719056769042
"GSM226035","Control",5.19803114213451,3.61673594943119,5.91749798450232,4.2262563351463,4.76768600235574
"GSM226037","Control",5.83606485602637,4.42513393901397,5.76690245321555,3.6581271032483,5.0119855317795
"GSM226038","Control",5.26475370850489,6.09797008473636,5.93023420763045,4.05196503167252,5.97876102678755
